question_id,question_text,rating,comment
0,"Who is ""she"" that PS0BC is referring to?",8,""
1,"What does ""she has"" refer to in this context?",6,""
2,"Why does PS0BC think that ""she has not""?",3,""
3,"What was the unclear part of PS0BC's utterance?",2,""
4,"Could you clarify what you meant by that unclear statement?",2,""
5,"Was the unclear part related to the previous discussion about the pictures?",2,""
6,"Who is ""her"" that PS0BA is referring to?",6,""
7,"Why does PS0BA want the number for ""her""?",5,""
8,"What is the context or situation that makes obtaining ""her"" number relevant at this point in the conversation?",5,""
9,"What is the significance of the ""different one"" in this context?",8,""
10,"Why is PS0BA asking if the number is different?",6,""
11,"What previous context or information is PS0BA referring to with ""different one""?",4,""
12,"What was the unclear part of PS0BA's utterance?",2,""
13,"What was PS0BA trying to communicate with that unclear utterance?",2,""
14,"How does the unclear utterance relate to the previous discussion about the woman's number?",2,""
15,"Who is the person being referred to as ""a bloke""?",6,""
16,"What is the context or situation where this person was mistaken for a man?",4,""
17,"Why does it matter that this person looks like a bloke?",3,""
18,"Who is the ""she"" referred to in the utterance?",6,""
19,"What is the significance of mentioning the ""Prime minister of Zaire"" in this context?",4,""
20,"How does this comment relate to the previous discussion about phone numbers and pictures?",3,""
21,"What was the unclear part of PS0BC's utterance?",,""
22,"Could you clarify what PS0BC was trying to say?",,""
23,"Was PS0BC responding to a specific point in the previous discussion?",,""
24,"What was the unclear part that PS0BC was trying to say?",,""
25,"Could the unclear part be related to the previous discussion about the woman's appearance?",,""
26,"Was PS0BC attempting to clarify or contradict something that was said earlier in the conversation?",,""
27,"What exactly is the ""that"" PS0BA claims to know about?",,""
28,"What was PS0BA referring to when they mentioned ""draw a"" before the unclear part?",,""
29,"Why did PS0BA sigh before responding to the previous speaker's comment?",,""
30,"Who is the ""he"" referred to in the utterance?",,""
31,"What exactly were you supposed to draw for him?",,""
32,"When did this conversation about drawing take place?",,""
33,"What was the context of the accusation that Steve was being referred to?",,""
34,"Why would Steve be accused of something in this conversation?",,""
35,"What exactly was Steve supposed to draw, and why was it relevant to the discussion?",,""
36,"What is the context that led to Steve needing to ""simmer down""?",,""
37,"What exactly had Steve been accused of or what was he upset about?",,""
38,"What is the relationship between Steve and the speaker telling him to ""simmer down""?",,""
39,"What specific details about the sports orders are you referring to?",,""
40,"What do you plan to do with the details of the sports orders once you have them?",,""
41,"Why is it important for Adrian to provide you with the details of the sports orders?",,""
42,"What specific details of the sports orders do you need to draw it?",,""
43,"How familiar are you with creating such drawings?",,""
44,"When do you plan to have the drawing completed?",,""
45,"What was the unclear utterance that KC6PSUGP made?",,""
