question_id;question_text;rating;comment
0;What specific tasks or responsibilities did you have as an apprentice on your first day?;3.0;
1;How did your role as a mechanical fitter evolve from the very beginning?;6.0;
2;What were some of the initial challenges you faced when starting as an apprentice in the quarry?;8.0;
3;What specific roles did the half a dozen fitters have in the fitting shop?;8.0;
4;How did the amalgamation of the two companies affect the daily operations of the fitting shop?;8.0;
5;What was the significance of wearing a white collar without a tie for the fitters in those days?;8.0;
6;What specific duties did making tea for the men entail?;6.0;
7;How did the other workers react when you were assigned the task of making tea?;6.0;
8;Did the tea-making duty change over time, or was it a consistent part of your role as an apprentice?;6.0;
9;What exactly was the significance of serving the correct tea to each man, and why would serving two teas be so problematic?;6.0;
10;How did the system of tea rotation work in practice, and who was responsible for managing it?;5.0;
11;What were those oval tins with two ends used for, and how did they function in the tea-making process?;6.0;
12;What exactly did the engine smiths make and shape for the fitters and machines?;8.0;
13;How did the fitters and engine smiths collaborate on a daily basis in the fitting shop?;6.0;
14;What was the significance of the three fires at the end of the fitting shop where the engine smiths worked?;5.0;
15;What specific tasks did the engine smiths perform for the fitters and machinery?;6.0;
16;How did the role of the engine smiths differ from that of the traditional blacksmiths in the quarry?;8.0;
17;Were there any particular challenges or unique aspects of working as an engine smith in the quarry environment?;6.0;
18;What specific aspect of the quarry's operations were you referring to when you mentioned the blacksmiths?;2.0;
19;Could you elaborate on the distinction between engine smiths and quarry blacksmiths?;2.0;
20;How did the roles of the engine smiths differ from those of the traditional blacksmiths in the quarry?;;
21;What specific types of forging tasks did the smiths primarily handle in the quarry?;;
22;How did the role of the smiths evolve over time with the introduction of new machinery?;;
23;Were there any notable differences in the forging techniques used by the smiths compared to traditional blacksmiths?;;
24;"What exactly were the ""inclined brakes"" and how did they function in the quarry?";;
25;How frequently did the blacksmith perform these safety checks on the wire ropes and hooks?;;
26;Which specific mining regulatory body was responsible for overseeing these safety inspections?;;
27;What specific regulations or standards did the inspectorate enforce regarding the inspection of hooks and brakes?;;
28;How often did the inspectors visit, and what was the typical frequency of their rounds?;;
29;Were there any documented incidents or accidents that highlighted the importance of these inspections?;;
30;What specific materials were used to make the wearing plates for the mills and chutes?;;
31;How did the steam hammer mechanism function in the context of the shop's work?;;
32;Were there any particular challenges or notable incidents related to the use of the steam hammer?;;
33;What specific tasks or materials required the use of a four hundred weight pneumatic hammer?;;
34;How did the use of such heavy machinery impact the workflow or safety in the fitting shop?;;
35;Were there any particular challenges or considerations when operating the pneumatic hammer in this context?;;
36;What kind of patterns were stored in the loft of the stores?;;
37;Were these patterns used for specific types of machinery or equipment in the quarry?;;
38;How often were these patterns accessed or utilized in the daily operations of the shop?;;
39;What specific types of gear wheels were stored in the loft, and were they used for any particular machinery in the shop?;;
40;How did the storekeeper's strictness affect the workflow or the youngsters' ability to learn about the stored patterns?;;
41;Were the toy soldiers cast during the war efforts used for any practical purpose, or were they purely for morale or personal use?;;
42;What specific type of aeroplane were you casting during the war?;;
43;How did the manager typically react when he caught someone where they shouldn't be?;;
44;Were there any other types of toys or items you cast besides soldiers and aeroplanes?;;
45;What specific firm was responsible for finishing the castings for the crusher bearings?;;
46;"How did the ""boring bath"" designed by the old chief function in the context of the crusher bearing?";;
47;What was the exact weight of the massive bearing block, and how did its design impact the crusher's operation?;;
48;"What exactly is the ""whole lot"" being referred to?";;
49;"What does ""[unclear] down"" mean in this context?";;
50;"Why was the ""whole lot"" being discussed in the first place?";;
51;What specific role did the steam engine chassis play in the boring bath construction?;;
52;How did the transition from coal to diesel during the war impact the operations at the site?;;
53;Can you elaborate on the connection between your boss's family background and his engineering brilliance?;;
54;What was the name of the building firm owned by the dentist's father?;;
55;How did William Owen's tools become so difficult to obtain during the war?;;
56;Were there any other notable incidents or anecdotes involving William Owen's tools or his apprentices?;;
57;What specific role did the fitting shop play in the context of the war effort?;;
58;How did the establishment of the fitting shop influence the overall operations or productivity of the facility?;;
59;Were there any notable challenges or resistance encountered when reintroducing the fitting shop concept?;;
60;"What exactly did ""they"" usually come from before then?";;
61;What specific changes or shifts occurred that led to the situation you're describing?;;
62;How did the transition from the previous state to the current one impact the operations or dynamics you're referring to?;;
63;"What specific knowledge or information did ""they"" know?";;
64;"How did ""they"" acquire this knowledge or information?";;
65;What was the significance or impact of this knowledge on the context being discussed?;;
66;- How did Welsh families influence the English monarchy, particularly during the Tudor period?;;
67;- Can you provide examples of prominent Welsh individuals who have historically held significant power in England?;;
68;- What specific roles or positions have Welsh people occupied in the BBC and other British institutions?;;
69;What was the unclear part of PS2W1's utterance that you are referring to?;;
70;Could you clarify the context or topic that PS2W1 was responding to with their unclear utterance?;;
71;What specific aspect of the previous discussion might PS2W1 have been trying to address or ask about with their unclear utterance?;;
72;What specific aspect of the old-fashioned boilers were you referring to with your affirmation?;;
73;Did you have personal experience with these boilers, or are you familiar with them from another context?;;
74;How common were these boilers in the settings you're describing, and what purpose did they serve?;;
75;What specific duties did the cook in the quarry mess room typically perform?;;
76;How did one progress from being a cook to becoming a managing director in the quarry?;;
77;Were there any particular skills or qualifications required to become a cook in the quarry?;;
78;What specific aspect of the stores and clerks' roles in the head office were you referring to?;;
79;How did the clerks' training and future use in the company work exactly?;;
80;What was the significance of the draughtsman's office in relation to the fitting shop?;;
81;"What was the specific topic or context that led to the utterance ""That was [unclear]""?";;
82;Could you clarify what aspect of the previous discussion you were referring to with that statement?;;
83;Were you agreeing with or responding to a particular point made by the other speaker?;;
84;What exactly is the purpose of the cooling tank beside the blacksmith's fire?;;
85;How does the cooling tank function in relation to the blower nozzle?;;
86;Were there any specific safety measures or protocols associated with using the cooling tank in the smithy?;;
87;"What exactly is the ""nozzle of the blower"" and what is its purpose?";;
88;How does the cooling tank beside the blacksmith's fire function in this context?;;
89;Why was it necessary to take a bucket to the smithy, and what was the bucket used for?;;
90;"What prompted PS2W1 to suddenly greet with ""Hi"" after the detailed narrative about the quarry and apprenticeship?";;
91;Was there a non-verbal cue or interruption that led to this greeting, and if so, what might it have been?;;
92;How does this greeting relate to the preceding discussion, and what shift in the conversational dynamic does it indicate?;;
93;What kind of yellow soap was used in the shop?;;
94;Why was yellow soap specifically used for this purpose?;;
95;How did the temperature of the water from the smithy's tank affect the soap's usage?;;
96;"What exactly was the ""fair money"" used for?";;
97;How did the fair influence the work dynamics in the quarry?;;
98;Were there any specific traditions or activities associated with the fair that the speaker mentioned?;;
99;"What did you mean by ""three guineas""?";;
100;How did the fortnightly payment system work in your workplace?;;
101;Were there any specific deductions or additional benefits included in the three guineas?;;
102;What specific historical period or decade are you referring to when you mention the wages and working conditions you described?;;
103;How did the wage structure and payment frequency (fortnightly) compare to other industries or regions during that time?;;
104;Were there any notable economic or social factors that influenced these wage rates and working conditions?;;
105;What specific events or historical context marked the year 1937 in relation to the workplace described?;;
106;How did the wages and working conditions in 1937 compare to those in other years or industries at that time?;;
107;Were there any significant labor movements or union activities during 1937 that might have influenced the workplace dynamics?;;
108;What specific events or circumstances led to the wage differences between craftsmen and laborers in 1937?;;
109;How did the fortnightly pay structure influence the financial planning of workers during that time?;;
110;Were there any notable changes in wage rates or employment conditions around the late 1930s that might have affected these figures?;;
111;"What specific criteria did the quarry use to determine who was considered a ""bachelor"" during those times?";;
112;How did the practice of stopping bachelors first during slack times in the quarry impact the community or the workers' livelihoods?;;
113;Were there any support systems or alternative employment opportunities available for those who were stopped from working in the quarry?;;
114;What specific circumstances or criteria did the quarry foremen use to decide who to stop first during slack times?;;
115;How did the quarry workers who were stopped during slack times manage to support themselves and their families?;;
116;Were there any formal or informal agreements in place to ensure that workers who were stopped would be rehired when conditions improved?;;
117;What specific criteria were used to determine which workers were laid off first?;;
118;How did the community or workers perceive this system of prioritization during that time?;;
119;Were there any instances where this system was challenged or criticized by the workers?;;
120;What specific labor laws or regulations have changed since the 1930s that would make such a system unfair today?;;
121;How did the economic and social conditions of the 1930s influence the fairness perceptions of such labor practices?;;
122;Are there any modern examples of similar systems that are considered fair or unfair, and why?;;
123;What specific union policies would likely prevent such a system today?;;
124;How did the union's role in employment practices evolve from that era to the present?;;
125;Were there any documented cases where the system you described was challenged or changed within your workplace?;;
126;What specific skills or knowledge did you expect to learn as an apprentice?;;
127;How did you find out about the apprenticeship opportunity?;;
128;Were there any particular challenges or surprises you encountered when you started the job?;;
129;What specific contributions did Mr. William Owen make to promote interest in engineering in North Wales?;;
130;How did Mr. William Owen's teaching methods or philosophies differ from those of other engineering educators of his time?;;
131;Can you provide examples of firms in North Wales that benefited from Mr. William Owen's influence after the war?;;
132;What specific innovations did Mr. William Owen introduce in the engineering field?;;
133;How did the rotating drilling machine differ from the existing pneumatic drilling machines?;;
134;What impact did Mr. William Owen have on the engineering industry in North Wales post-war?;;
135;What specific types of samples would the chemist be analyzing in the quarry?;;
136;How frequently would the chemist conduct these analyses?;;
137;What methods or equipment would the chemist use for these analyses?;;
138;What specific fortifications in France did the chemist advise on?;;
139;How often did the chemist travel to France during the war?;;
140;What was the chemist's expertise that made him valuable for advising on fortifications?;;
141;What specific type of rock was being referred to in the quarry context?;;
142;How did the rock fall incident impact the operations or safety measures in the quarry?;;
143;Were there any notable consequences or changes in the quarry's design or procedures after the rock fall?;;
