question_id,question_text,rating,comment
0,"What specific question is being implicitly addressed by ""Oh I'm sorry dear ."" in this context?",4,""
1,"",0,""
2,"To what relationship or dynamic between participants does the use of ""dear"" point?",3,""
3,"",0,""
4,"How does this utterance function within the broader structure of the QUD stack at this moment?",1,""
5,"What did you put up?",6,""
6,"Why did you put it up?",5,""
7,"What is the result or purpose of having put it up?",5,""
8,"PS1VJ: [laugh]",0,""
9,"PS1VH: Oh I 'm sorry dear .",0,""
10,"G3UPSUNK: [laugh]",0,""
11,"PS1VJ: [laugh]",0,""
12,"",0,""
13,"1. What specific aspect of PS1VH's utterance or the preceding context triggered the laughter from PS1VJ?",,""
14,"2. How does the laughter from PS1VJ contribute to the relational dynamics or conversational rapport at this moment?",,""
15,"3. In what way does the laughter from PS1VJ strategically address or sidestep the Question Under Discussion (QUD) at this point?",,""
16,"Progressive questions:",,""
17,"",,""
18,"Why did PS1VJ formulate their utterance as a fragment rather than completing the intended phrase?",,""
19,"",,""
20,"What specific aspect of the introduction process does PS1VJ's fragment refer to?",,""
21,"",,""
22,"How does the fragmented nature of PS1VJ's utterance reflect upon the relationship dynamics between the speakers?",,""
23,"*   What specific conversational function did the speaker intend by emitting ""[laugh]"" at this point in the dialogue?",,""
24,"*   How did the ""[laugh]"" contribute to the ongoing conversational dynamics, such as turn-taking or establishing rapport?",,""
25,"*   What pragmatic implicature might be associated with the speaker's ""[laugh]"", given the surrounding context and the speaker's potential commitment to a particular QUD?",,""
26,"Who is Margaret?",,""
27,"What is Richard's and Margaret's role or connection here?",,""
28,"How is Margaret connected to the other participants?",,""
29,"Why does G3UPSUNK's laughter specifically follow PS1VJ's comment about putting something up, and what does this particular instance reveal about their rapport or social dynamics?",,""
30,"How does the laughter function differently in response to PS1VH's question about introductions compared to G3UPSUNK's earlier laughter, and what does this shift suggest about the evolving QUD?",,""
31,"What specific aspect of PS1VH's heavy topic transition to self-introductions prompts G3UPSUNK's laughter, and does this instance serve to lighten the QUD or signal a need for redirection?",,""
32,"Who exactly does PS1VH's ""If you wish"" address in this moment?",,""
33,"What conversational context immediately precedes PS1VH's ""If you wish""?",,""
34,"What conversational purpose does PS1VH achieve with the utterance ""If you wish""?",,""
35,"What is Sheila's affiliation or organization, similar to the others who mentioned theirs?",,""
36,"What is Sheila's specific role or capacity in relation to the event?",,""
37,"How is Sheila connected to the organizations or the cause being discussed?",,""
38,"What prompted G3UPSUNK to laugh in response to PS1VH's statement about introductions being necessary?",,""
39,"How does G3UPSUNK's laughter reflect their attitude or relationship with the other participants at that moment?",,""
40,"What aspect of the shared context or prior conversation did G3UPSUNK find particularly humorous or relatable?",,""
41,"What specific aspect of missionary work was Bernadette about to clarify, given the [unclear] token?",,""
42,"How does Bernadette’s missionary role relate to the previously mentioned organizations or the context of York?",,""
43,"Was Bernadette’s statement intended to address a previously unspoken question about her involvement in a particular cause?",,""
44,"Why did Raymond choose to self-introduce in this tentative way, especially after others provided more complete introductions?",,""
45,"Given Raymond's mention of having only just moved to York and not yet affiliating with anything, what might this suggest about his current status or relationship to the others present?",,""
46,"What might be the implication of Raymond attending a Friends' Meeting but not having affiliation with anything?",,""
47,"What is the relationship between Mary and the other participants introduced earlier?",,""
48,"What is the nature or purpose of the 'meetings' Mary mentions?",,""
49,"How does the frequency indicated by 'usually' compare to others or the typical pattern?",,""
50,"Why does the laughter occur immediately following the introduction of specific individuals (like Moira, Mary, Margaret, Sheila, Theresa, Bernadette)?",,""
51,"What is the difference in the function or interpretation of the laughter following self-introductions versus the laughter following confirmations of names (like ""Margaret"") or other contextual acknowledgments?",,""
52,"How does the recurring laughter influence the trajectory of the self-introduction sequence, potentially affecting the participants' willingness to continue sharing personal details?",,""
53,"What is Anne's specific role or capacity within the Justice and Peace group?",,""
54,"What is the general focus or nature of the Justice and Peace group she belongs to?",,""
55,"Are there other participants in the meeting who are also members of the Justice and Peace group, and if so, how is Anne connected to them?",,""
56,"Why does the laughter occur immediately after these specific self-introductions or statements?",,""
57,"What distinguishes the context of these laugh instances from other potential points of silence or topic shifts?",,""
58,"How does this particular laugh contribute to managing conversational implicatures or signaling rapport/misunderstanding?",,""
59,"Who are all the participants in this meeting?",,""
60,"What is the nature of Moira's relationship with David beyond friendship?",,""
61,"What is the purpose or focus of this meeting?",,""
62,"PS1VH: I'm a friend of a friend. ... Right we're going to have a sketch now. Which hopefully will work out okay. ... There is a script, but erm we haven't cast the players ... except Anne, who's going to play Doreen. ... Anne said she worked in a factory at one time.",,""
63,"",,""
64,"1. Who exactly is the ""friend of a friend"" that PS1VH mentioned, and what is their connection to the group?",,""
65,"2. Why was Anne specifically chosen to play the character Doreen in the sketch?",,""
66,"3. Who else is involved in the process of casting the sketch besides PS1VH and Anne?",,""
67,"What specific statement or action immediately preceded the laughter, triggering this response?",,""
68,"How does this instance of laughter function within the ongoing QUD stack – does it signal relief, confirmation, amusement at a misunderstanding, or a shift in conversational focus?",,""
69,"What does the timing of this laughter suggest about the rapport, shared understanding, or potential misalignment among the participants at that specific moment?",,""
70,"Who was given the script and why was Maria specifically named?",,""
71,"How does Maria’s role connect to Heg’s in the global chain narrative?",,""
72,"Why is David being asked to play the male character, and how does this relate to the theme?",,""
73,"Who are the men named Joe, Richard, and Balak?",,""
74,"What specific roles do these male characters play in the story?",,""
75,"Who are the women named Zoe, Denise, and Carol?",,""
76,"What is the specific purpose of asking if everyone has read the final paragraph before casting begins?",,""
77,"Why is the final paragraph singled out as particularly relevant to understanding the characters' connections?",,""
78,"How does ensuring familiarity with the final paragraph advance the group's collaborative goal of casting effectively?",,""
79,"Why did the first speaker (G3UPS005) initially misstate the page number for the final paragraph?",,""
80,"What is the urgency or importance of reading the final paragraph before proceeding with the skit casting?",,""
81,"Who is responsible for ensuring everyone has access to the complete script, including the final paragraph?",,""
82,"What specific event or discussion from yesterday does G3UPSUNK refer to?",,""
83,"What was the purpose or context of the meeting that occurred yesterday?",,""
84,"Why does G3UPSUNK question whether the current topic or document is from yesterday's meeting?",,""
85,"What specific aspect of the preceding statement(s) prompted this particular laugh?",,""
86,"",,""
87,"How does this laugh function within the conversational structure – as a reaction, a social lubricant, or something else?",,""
88,"",,""
89,"What might be the intended social function or pragmatic meaning behind this laugh?",,""
90,"PS1VH: Yeah . ... And after that we have a man called Heg ... Would that be okay for you David ?",0,""
91,"G3UPS005: Yeah . ...",0,""
92,"",0,""
93,"1. Given the previous question about whether someone could play Maria, what specific commitment or action does the response ""Yeah ."" imply, and why does the dialogue not continue with someone volunteering or confirming availability for that role?",3,""
94,"2. Since the response ""Yeah ."" follows a question about Maria, does this utterance implicitly commit the speaker to taking the role or merely acknowledge the possibility, and if so, what further information is needed to confirm this commitment?",0,""
95,"3. Considering the QUD framework, where a move must be relevant to the question currently under discussion, how does the vague response ""Yeah ."" relate to the question about Maria, and what unresolved issue does this leave for the dialogue to progress?",0,""
96,"What was the specific apology intended in ""I'm sorry [unclear]"" before the character Maria entered the dialogue?",2,""
97,"How was the unclear apology or statement related to the character Maria or the sketch context at that moment?",2,""
98,"Could the [unclear] part have been related to a previous unclear point in the casting process or the sketch details?",2,""
99,"What specifically about Maria's role or the situation is unclear or ambiguous at this point?",2,""
100,"What prompted the facilitator's apology and the '[unclear]' marker in their response?",2,""
101,"What is the function or purpose of the '[unclear]' marker in this dialogue, and how does it affect the flow of information?",2,""
102,"What specific connection is being implied between Maria's line earlier and Doreen's line now?",3,""
103,"How does the flow of the role-play determine whose perspective or dialogue is presented when?",,""
104,"What is the overall purpose or goal of this structured role-play activity?",,""
105,"Why did her realization about being part of the chain occur specifically during her time involved in union work, and when did this period of union activity take place in relation to her 23 years at the factory?",,""
106,"What were the specific outcomes or consequences of her coming to understand how she was linked to the chain through her union work?",,""
107,"How does her personal narrative of family legacy and union work in the factory compare or contrast with Maria's situation and experiences as described earlier?",,""
108,"What caused the sickness among the cocoa workers?",,""
109,"What was the purpose or function of the network they heard about?",,""
110,"What does 'joining the chain' metaphorically represent in this context?",,""
111,"Who are exactly these 'contacts' of TIE's in Brazil, and what were their specific roles or purposes?",,""
112,"What was the precise purpose or goal behind writing to these contacts in Brazil through TIE?",,""
113,"How does the network TIE function to connect and support workers across different countries and industries like cocoa farming and chocolate manufacturing?",,""
114,"What was the outcome or effect of the protest?",,""
115,"How did the network (TIE) become involved in or respond to the protest?",,""
116,"How is the protest related to the broader formation or purpose of the network?",,""
117,"What specific actions or roles does joining the chain entail for members like Balakrishnan?",,""
118,"",,""
119,"How does the network (TIE) facilitate connections and communication between different cocoa workers' groups around the world?",,""
120,"",,""
121,"What tangible benefits or changes has Balakrishnan experienced as a result of joining the chain?",,""
122,"Why were the workers specifically threatened with sackage in 1989?",,""
123,"What specific actions by the union were considered 'stronger' in 1989?",,""
124,"What were the immediate consequences or outcomes following the workers' protest in 1989?",,""
125,"1. What was the specific outcome or impact of *your* protest in Malaysia?",,""
126,"2. How did you coordinate your protest with other members of your union or the network?",,""
127,"3. Are the issues that prompted the protest, such as the use of pesticides or unfair dismissals, still being addressed in your workplace?",,""
128,"What was the outcome or effectiveness of their letter-writing campaign?",,""
129,"How many other links in the chain were involved in similar protest actions?",,""
130,"What specific changes or impacts resulted from their combined efforts?",,""
131,"Why does G3UPS005 repeat the statement ""We protested"" at this point in the dialogue?",,""
132,"",,""
133,"What is the significance of multiple speakers (G3UPS005, PS1VH, G3UPS000) affirming their participation in protests in this concluding section?",,""
134,"",,""
135,"How does repeating the action of protesting in this context relate to the ongoing issues or future goals discussed by the speakers?",,""
136,"Why did the network members (like PS1VH) continue to protest, while others in the same situation did not join?",,""
137,"",,""
138,"What specific timeline or sequence of events led to the widespread repetition of ""We protested"" among different groups (like the Bahia workers, the Ghana workers, the Malaysian workers)?",,""
139,"",,""
140,"How did the initial protests by the network members (like PS1VH) directly influence or trigger the subsequent waves of protests mentioned by other speakers (G3UPS002, G3UPS000, etc.)?",,""
141,"What is the mechanism for coordinating action across different geographical locations within the chain network?",,""
142,"How are decisions made collectively within the chain network?",,""
143,"Who determines which problems facing chocolate workers are prioritized for collective action?",,""
144,"What is the specific connection between Christian Aid week and the goal of ensuring fair returns for cocoa workers' labor?",,""
145,"What does it mean to ""join the chain"" in this context, beyond simply being an existing member of the network?",,""
146,"How does ensuring a fair return for labor encompass the various challenges faced by cocoa workers, such as pesticide use and job security?",,""
147,"What specific challenges does G3UPS000 face in ensuring sufficient food for their children?",,""
148,"How is the struggle for sufficient food for one's children connected to the broader issues discussed by the cocoa workers?",,""
149,"What does this statement reveal about the perceived success or ongoing challenges of the collective actions undertaken?",,""
150,"What specific factors constitute 'healthy' working conditions in this context?",,""
151,"How are 'healthy working conditions' linked to the issues previously discussed, such as the toxic pills and job security?",,""
152,"What is the responsibility of the chocolate companies in ensuring 'healthy working conditions' for cocoa workers?",,""
153,"What specific historical circumstances made the freedom to join a union particularly elusive or dangerous for these cocoa workers?",,""
154,"What practical obstacles or restrictions might have prevented these workers from exercising this freedom, even if they desired to?",,""
155,"How was the right to join a union perceived in relation to the other rights and needs mentioned, such as sufficient food, a living wage, and healthy working conditions?",,""
