question_id,question_text,rating,comment
0,"What specific misunderstanding has just been resolved by your realization?",3,""
1,"Which aspect of the three-piece suite was causing the initial confusion?",3,""
2,"Does your ""Aha"" confirm that the delivery time of ""tomorrow"" is the key detail you had missed?",4,""
3,"Who is bringing the new suite?",6,""
4,"Where will the new suite be located?",6,""
5,"What time tomorrow is the new suite arriving?",6,""
6,"Why are you addressing me as David instead of my actual name?",1,""
7,"What specific action or vocalization did you interpret as ""tutting""?",3,""
8,"Why are you insisting that I am not speaking to me when I clearly heard you call my name?",1,""
9,"Who is Russell?",6,""
10,"Why is Russell's request relevant to the arrival of the suite?",1,""
11,"Did Russell express his want explicitly or through an action?",5,""
12,"What specific task or activity requires the speed implied by ""hurry up""?",3,""
13,"Who is the specific agent capable of ""hurrying up"" in this context?",,""
14,"What is the estimated duration the speaker believes the task will take if performed without delay?",,""
15,"What specific examples of unwanted tasks is PS0WN implicitly inviting PS0WS to acknowledge?",,""
16,"How does the shift to a universal generalization (""we've all got"") function to override PS0WS's specific refusal?",,""
17,"Is the tag question ""have n't we?"" intended to solicit genuine agreement or merely to assert an unchallengeable social norm?",,""
18,"What specific work are you referring to that David needs to do before or instead of attending drama class?",,""
19,"How will the fact that David has missed drama class for two consecutive weeks influence the negotiation about his current tasks?",,""
20,"Given David's resistance to the work and his desire to watch TV, what consequence or follow-up action do you intend to enforce if he does not comply?",,""
21,"Did you actually receive the wool I got for you?",,""
22,"How are you planning to use the wool now that you have it?",,""
23,"Does this wool help you complete the work you were reluctant to do?",,""
24,"Why did you feel the wool was nice or valuable?",,""
25,"Did David express a similar appreciation for the wool that you received?",,""
26,"What was your intention behind getting David that wool in the first place?",,""
27,"Is the ""tt"" vocalization an expression of frustration specifically directed at the increased volume of the television?",,""
28,"Does the interruption of the ongoing discussion about the wool and drama lessons indicate a breakdown in the parent's attempt to manage the child's behavior?",,""
29,"What immediate action or concession does the parent expect to make in response to the television becoming louder at this precise moment?",,""
30,"What specific content was PS0WN attempting to convey in the final unclear utterance?",2,""
31,"How does the missing information in this turn relate to PS0WS's preceding comment about ""people keep saying""?",2,""
32,"Is the unclear utterance a continuation of the negotiation regarding the drama class or a new shift in the conversation's topic?",2,""
33,"Who specifically is the ""he"" being referred to in the context of the ongoing drama?",1,""
34,"What specific behavior or incident just occurred to characterize him as a ""wee pain"" in this moment?",5,""
35,"How does this current annoyance connect to the broader pattern of people ""keep saying"" things that the child mentioned?",5,""
36,"What specific aspect of ""what he's like"" prompts the final exclamation ""Ah!""?",3,""
37,"Is the ""Ah!"" indicating a sudden realization of a future consequence related to Russell's behavior?",3,""
38,"Does the abruptness of the utterance suggest an external interruption or an internal shift in the speaker's emotional state?",3,""
39,"What specific painting task do you need help with tonight?",6,""
40,"Is there a particular deadline or time by which this painting must be completed?",6,""
41,"Do you have the necessary supplies ready for the painting, or do we need to gather them first?",6,""
42,"Who exactly constitutes the ""new suite"" arriving tomorrow?",,""
43,"What specific color or type of paint is required to finish the living room?",,""
44,"How can the painting be completed in time if it is already three weeks behind schedule?",,""
45,"Does the ""Mhm"" confirm that you will actually go get the paint as implied by the plan?",,""
46,"Since you noted the new suite is three weeks too early, does your agreement mean we are proceeding with painting the living room immediately?",,""
47,"Given your previous hesitation to go to drama class, is this ""Mhm"" a genuine commitment to helping with the paint tonight?",,""
48,"Who exactly do you mean by ""we"" in this context?",3,""
49,"What specific task or area are we planning to address when we ""go over""?",5,""
50,"Does going over ""just now"" imply we need to leave immediately, or is there flexibility in the timing?",5,""
51,"Why do we need to go to the paint shop right now instead of waiting?",6,""
52,"Which specific type or color of paint are we going to buy?",6,""
53,"Is there a particular paint shop you have in mind, or should we just go to the nearest one?",6,""
54,"What specific painting task needs to be completed by four-thirty to accommodate the new suite?",4,""
55,"Is the paint shop open until at least four-thirty to allow for the purchase?",6,""
56,"Does the ""Teenage Hero Turtles"" episode end early enough to permit a departure by that time?",7,""
57,"How long will the paint shop stay open after half past four?",6,""
58,"What specific type or color of paint do we need to buy?",4,""
59,"Did we agree on how we will get to the paint shop?",6,""
