question_id,question_text,rating,comment
0,"What does ""Aha"" signify in this context?",4,""
1,"Is ""Aha"" an acknowledgment of understanding or a confirmation of agreement?",4,""
2,"Does ""Aha"" imply that the previous confusion has been resolved?",4,""
3,"What specific suite are you referring to?",8,""
4,"What makes this suite new?",8,""
5,"Why is the suite coming tomorrow?",6,""
6,"What does the tutting signify in this context?",4,""
7,"Why is the speaker emphasizing David's name with increasing urgency?",5,""
8,"What is the underlying issue or tension that the speaker is trying to address with this utterance?",4,""
9,"What is the context in which Russell's wanting was mentioned?",8,""
10,"Why is PS0WN asking about Russell's wanting at this point in the conversation?",6,""
11,"How does Russell's wanting relate to the previous discussion about the three-piece suite?",8,""
12,"What specific task or activity is being referred to by ""it"" in the utterance?",6,""
13,"How long is ""very long"" expected to take in this context?",5,""
14,"Why is the urgency or speed of completion being emphasized?",6,""
15,"What specific things does PS0WN believe everyone has that they don't want to do?",4,""
16,"How does PS0WN's statement relate to the broader context of their conversation with PS0WS?",4,""
17,"Why does PS0WN feel the need to generalize this experience to ""we've all got things""?",5,""
18,"What specific commitments has David made regarding attending drama class in the past two weeks?",6,""
19,"How does the mention of the TV being on relate to David's reluctance to do his work?",6,"interesting !!! maybe he just started watching Tv so he is ignoring his mom"
20,"What exactly is the ""bit of work"" that PS0WN is referring to, and why is it important for David to complete it?",8,""
21,"What wool are you referring to?",8,""
22,"Why did you get the wool for David?",6,""
23,"How is the wool related to the previous discussion about the suite and drama class?",8,""
24,"What specific wool are you referring to?",4,""
25,"Why did you think getting the wool was nice?",4,""
26,"What prompted you to get the wool in the first place?",8,""
27,"What does the sudden increase in TV volume signify in this context?",,""
28,"Is the TV volume adjustment a deliberate attempt to interrupt or change the topic?",,""
29,"How does the ""Tt"" vocalization relate to the TV volume change and the overall discourse?",3,""
30,"What was the unclear utterance that PS0WN made?",2,""
31,"Could the unclear utterance be related to the previous topic of discussion?",2,""
32,"Was PS0WN attempting to respond to PS0WS's mention of ""people saying [unclear]""?",2,""
33,"Who is the ""he"" being referred to in this utterance?",8,""
34,"What specific behavior or actions make ""he"" a ""wee pain""?",6,""
35,"How does the speaker's knowledge of ""he"" influence their current interaction with David?",5,""
36,"What specific situation or event prompted the exclamation ""Ah!""?",1,""
37,"What does the phrase ""I know"" refer to in this context?",4,""
38,"What is the emotional or attitudinal tone conveyed by ""Ah!"" and how does it relate to the preceding dialogue?",3,""
39,"What specific painting task are you referring to?",8,""
40,"Why is the painting task important or urgent tonight?",5,""
41,"What happens if I don't help with the painting tonight?",6,""
42,"Why is the new suite arriving three weeks earlier than expected?",,""
43,"What specific parts of the living room need to be painted before the suite arrives?",,""
44,"How do you plan to get the paint in time for the suite's arrival?",,""
45,"What specific aspect of the living room painting is PS0WN referring to with ""Mhm""?",,""
46,"Does PS0WN's ""Mhm"" indicate agreement or acknowledgment regarding the paint issue?",,""
47,"What implications does the early arrival of the new suite have on the painting plans?",6,""
48,"Where exactly are you suggesting we go?",8,""
49,"What is the purpose of going over there right now?",6,""
50,"Is there something specific we need to do or check there?",6,""
51,"Why do you think we need to go to the paint shop right now?",5,""
52,"What specific paint or supplies do we need to get from the paint shop?",8,""
53,"Is there a particular reason why the timing of the paint shop visit is urgent?",3,""
54,"What does ""what time do you want shot at"" mean?",4,""
55,"Why are they discussing the end time of the TV show in relation to going to the paint shop?",4,""
56,"What is the significance of half past four in this context?",4,""
57,"What specific plans or actions are implied by ""Right. Okay.""?",3,""
58,"Does ""Right. Okay."" signal agreement, acceptance, or just acknowledgment?",3,""
59,"What is the next step or topic that ""Right. Okay."" is preparing to address?",3,""
