question_id;question_text;rating;comment
0;What specific three-piece suite are you referring to, and why is it coming tomorrow?;0.0;
1;"How does the listener interpret the exclamation ""The three piece suite!"" in terms of urgency or expectation?";0.0;
2;"What is the purpose of the speaker's repeated emphasis on ""The three piece suite"" and the listener's acknowledgment with ""Aha""?";1.0;
3;What is the exact model and design of the new suite?;6.0;
4;What are the specific features that differentiate the new suite from the current three-piece suite?;6.0;
5;What is the precise delivery date and time for the new suite tomorrow?;8.0;
6;What is David's connection to the suite?;4.0;
7;What exactly is being referred to by 'tutting'?;4.0;
8;What is the intended response from David in this moment?;3.0;
9;"What specific aspect of Russell's desired outcome is unclear in the utterance ""The new suite's coming tomorrow""?";5.0;
10;What is the timeline or confirmation of the three-piece suite delivery mentioned earlier?;5.0;
11;"What exactly does the phrase ""trying to watch this"" refer to in the context of the conversation?";4.0;
12;What's the duration of the new suite's installation?;;
13;What are the consequences of delaying the suite installation?;;
14;Who will be affected by the suite installation timeline?;;
15;What does 'we' refer to in this context?;;
16;How are we supposed to accomplish the things we don't want to do?;;
17;Are we expected to do these tasks simultaneously or individually?;;
18;Will you do your bit of work?;;
19;What specific work do you need to do?;;
20;Do you want me to pick the drama class?;;
21;Why did you say the three-piece suite is coming tomorrow?;;
22;What specific item does the wool you gave me represent?;;
23;How can I help you with the drama class you mentioned?;1.0;
24;Is this about a specific piece of clothing?;0.0;
25;What consequence does the speaker think will occur if the suit is taken?;0.0;
26;Why does the speaker think it is too [something]?;1.0;
27;"What did the speaker mean by ""Tt""?";3.0;
28;How did the TV's loudness relate to the speaker's request for the child to do their work?;4.0;
29;What specific task does the speaker want the child to complete and why is it urgent now?;4.0;
30;What is the specific issue with the drama class that’s causing repeated refusals?;2.0;
31;Can you explain why the parent is refusing to pay for the drama class again?;1.0;
32;What does the child mean by wanting to “go drama class” now?;4.0;
33;"What specific behaviors of the child are being highlighted as ""a wee pain""?";4.0;
34;"What does the parent mean by ""another lot of lessons for you at the drama class""?";3.0;
35;"How does the parent envision ""you've been saying you've not gon na go"" and what is the child's likely response?";;
36;"Why does PS0WN say ""Ah!""?";;
37;What specific thing does PS0WN want David to do?;;
38;"Why is PS0WN mentioning ""this is two weeks in a row"" in the context of the drama class?";;
39;What is the specific item that needs painting tonight that you're asking for help with?;;
40;Why did you suggest doing the painting now when the speaker previously expressed reluctance to attend drama class?;;
41;Can you clarify the relationship between the painting task and the earlier discussion about wool or other materials?;;
42;When exactly will the living room be painted?;;
43;Is there a specific timeline for when the new suite will be ready?;;
44;What type of paint do you want us to get for the living room?;;
45;"What does the ""two weeks in a row"" refer to in the previous exchange?";;
46;"How does David respond when asked to ""do your bit of work""?";;
47;What specific changes will be made to the paint schedule for the new suite?;;
48;What are the specific tasks you are willing to undertake for painting the living room?;0.0;
49;Do you have any suggestions for how to expedite the painting process given the three-week constraint?;0.0;
50;When exactly do you propose we begin going over the painting details and preparations?;0.0;
51;When will we leave for the paint shop?;6.0;
52;Is there anything specific we need to buy at the paint shop?;8.0;
53;Will we need to paint the living room before moving in or after?;5.0;
54;What time do you want us to leave for the paint shop?;8.0;
55;When can we finish painting the living room before the new suite arrives?;0.0;
56;Who will be responsible for buying the paint and covering the associated costs?;5.0;
57;When do you expect the painting to be finished?;0.0;
58;What's the backup plan if the painting isn't done by the suite move-in?;0.0;
59;Why did you decide to go back to the paint shop instead of waiting?;3.0;
