question_id,question_text,rating,comment
0,"What specific goods were typically brought ashore by the steamer?",,"misinterprets plus already answered"
1,"How did the shipping company coordinate the use of the salmon coble for transporting goods?",5,""
2,"Were there any particular challenges or risks associated with using the salmon coble for this purpose?",6,""
3,"What kind of cattle were typically transported using this method?",5,""
4,"How did the condition of the condemned boats affect the safety of the transportation process?",4,""
5,"Were there any specific challenges or risks associated with towing the cattle with another rowing boat?",5,""
6,"What exactly prompted the cattle to jump over the side of the boat?",8,""
7,"How did you manage to catch the cattle that jumped overboard?",8,""
8,"Were there any specific safety measures or techniques used to prevent such incidents in the future?",8,""
9,"What exactly is ""flipping"" in this context, and how was it typically performed?",1,""
10,"How strong was the current between Egilsay and Rousay that allowed the cattle to swim back?",8,""
11,"Were there any specific characteristics of the two old cattle that might have contributed to their ability to swim back to Rousay?",6,""
12,"What specific conditions or triggers cause cattle to decide to swim back to Rousay?",8,""
13,"How did the cattle manage to navigate the strong current to return to Rousay?",8,""
14,"Were there any noticeable behavioral changes in the cattle after their swimming incident?",8,""
15,"What specific type of coble was typically used for swimming cattle off?",6,""
16,"How did the cattle generally react when they were first placed in the water?",5,""
17,"Were there any particular techniques or methods used to encourage the cattle to swim?",5,""
18,"What specific methods were used to severely tie the horses during shipping?",6,""
19,"How did the screams of the pigs affect the handling process or the overall operation?",6,""
20,"Were there any particular techniques or tools used to round up the sheep when they were taken to the sea?",8,""
21,"What specific perishable goods were typically transported this way during winter?",,""
22,"How did the weather conditions affect the frequency or reliability of these transfers?",,""
23,"Were there any alternative methods or routes used when the steamer couldn't reach Rousay?",,""
24,"What exactly caused the bread to turn green so quickly?",,""
25,"How did the presence of penicillin affect the bread or the community?",,""
26,"What methods did people use to preserve perishable goods before modern cooling techniques were available?",,""
27,"What specific hurricane are you referring to?",,""
28,"How did the hurricane impact the hens and their role in the community?",,""
29,"What were girdles used for in this context, and why would their use decline with the failure of the hens?",,""
30,"What exactly caused the stacks to be lifted and the hen houses to be scattered?",,""
31,"How did you manage to gather the hens in such chaotic conditions?",,""
32,"What happened to the hens and the infrastructure after the hurricane, and how did you recover?",,""
33,"What exactly caused the wind to change direction so suddenly from southwest to west during the hurricane?",,""
34,"How did the old house survive the hurricane while the new hen house, built with concrete blocks, was completely destroyed?",,""
35,"Were there any specific structural differences between the old house and the new hen house that might explain why one stood and the other didn't?",,""
36,"What was the context of the question that prompted the response ""Mhm mhm""?",,""
37,"Was the response ""Mhm mhm"" an acknowledgment of a previous statement or a confirmation of a question?",,""
38,"Did the ""Mhm mhm"" indicate agreement or simply acknowledgment of the ongoing conversation?",,""
39,"What exactly is the ""butt and the bairn"" that you mentioned?",,""
40,"How did you manage to stay safe in the kitchen during the hurricane?",,""
41,"What measures did you take to secure the house after experiencing such severe damage?",,""
42,"What specific ages were the bairns at the time of the hurricane?",,""
43,"How did the bairns react to the hurricane compared to the adults?",,""
44,"Were there any long-term effects on the bairns after experiencing the hurricane?",,""
45,"What exactly caused the foam to rise so dramatically during the gale?",,""
46,"How long did it take for the foam to settle after the gale passed?",,""
47,"Were there any other unusual weather phenomena associated with this storm?",,""
48,"What specific north isles were the steamers going to when they saw the hen houses on the sea?",,""
49,"How common was it for hen houses to be blown into the sea during storms in that area?",,""
50,"Were there any efforts or plans to prevent hen houses from being blown away in future storms?",,""
51,"What specific crops were most affected by the hurricane?",,""
52,"How long did it take for the community to recover from the loss of crops?",,""
53,"Were there any long-term changes in farming practices after this event?",,""
