,question_id,question_text,rating,comment
0,0,"Who is ""he"" that still gets it?",4.0,
1,0,"What is the significance of ""P J."" at the end of the utterance?",3.0,
2,2,Are they referring to a specific game or activity involving passing a ball?,3.0,
3,3,"What exactly are you referring to when you ask ""have you seen it""?",5.0,
4,4,"What is the significance of ""it"" in this context?",3.0,
5,5,Why is this question being asked at this particular moment in the conversation?,3.0,
6,8,"What exactly is ""that break"" you're referring to?",8.0,
7,8,"What are you trying to prevent by saying ""don't bring it over here""?",3.0,
8,8,"What were you wondering about when you said ""wonder""?",5.0,
9,9,"What is the specific context or situation that prompted PS4Y3 to mimic ""Uh huh"" with a raspberry sound?",3.0,
10,10,"Is the raspberry sound meant to convey a particular emotion or attitude, such as sarcasm, amusement, or frustration?",3.0,
11,11,"How does the mimicking of ""Uh huh"" with a raspberry sound relate to the preceding or following utterances in the dialogue?",3.0,
12,12,"What prompted PS4Y3 to suddenly say ""Hello"" at this point in the conversation?",3.0,
13,13,Is PS4Y3 addressing someone new or shifting the focus of the conversation with this greeting?,3.0,
14,14,"Could ""Hello"" be a response to an unheard or unclear utterance from another participant?",2.0,
15,15,How did you end up owing your mum money?,8.0,
16,16,What was the reason for the debt between you and your mum?,8.0,
17,17,When did you realize you owed your mum money?,0.0,
18,18,What specific event or activity is happening that makes it relevant to mention the time before break?,3.0,
19,19,Why is the mention of the time before break time important in this context?,3.0,
20,20,What is the significance of the half-hour timeframe before break time in this conversation?,,
21,21,What specific chords are you learning in your music lesson?,,
22,22,How much money do you owe your mum exactly?,,
23,23,Why are you asking about the amount owed during the conversation about your music lesson?,,
24,24,"What does ""ninety-nine P"" refer to specifically?",,
25,25,Why does PS4Y3 owe ninety-nine P?,,
26,26,How did the debt of ninety-nine P come about?,,
27,27,What exactly is the remaining amount you owe?,,
28,28,Why can't you give the rest today?,,
29,29,What happened to the money you previously gave?,,
30,30,What exactly is the context of the twenty-nine pence mentioned?,,
31,31,How does the twenty-nine pence relate to the previously discussed ninety-nine pence?,,
32,32,Why is the speaker specifying that it's twenty-nine pence at this point in the conversation?,,
33,33,What exactly is the sixty to seventy pence referring to?,,
34,34,Why is the amount owed now sixty to seventy pence instead of the previously mentioned ninety-nine pence?,,
35,35,When is the deadline for paying back the remaining amount?,,
36,36,What specific amount of money was agreed upon for the debt?,,
37,37,When exactly will the remaining amount be paid?,,
38,38,Why is the payment being split into two parts?,,
39,39,"What specific question was PS4Y3 agreeing to answer with ""Yeah""?",,
40,40,What was the context or topic that led to PS4Y8 asking PS4Y3 to answer a question?,,
41,41,What was the nature of the question that PS4Y3 was expected to answer?,,
42,42,Why did PS4Y3 suddenly start singing in the middle of the conversation?,,
43,43,"What is the significance of the sneeze and the phrase ""Bless me"" in this context?",,
44,44,"What was PS4Y3's intention with the question ""Yeah what?"" after the singing and sneeze?",,
45,45,"What is the specific reason or context for PS4Y3 asking ""You come here""?",,
46,46,What does PS4Y3 intend to do or discuss after the other person comes over?,,
47,47,Is there a connection between the previous financial discussion and the request to come over?,,
48,48,Where is PS4Y3 currently located?,,
49,49,"What does ""coming down"" refer to in this context?",,
50,50,Why does PS4Y3 need to come down?,,
51,51,"What is the context or topic that prompted PS4Y3 to respond with ""What?""",,
52,52,"Who is PS4Y4 addressing or referring to in their unclear utterance before PS4Y3's ""What?""",,
53,53,"What specific information or clarification is PS4Y3 seeking with the utterance ""What?""?",,
54,54,"What specific situation or action is PS4Y3 referring to with ""it should""?",,
55,55,"Why does PS4Y3 initially express doubt but then concede with ""I suppose you can""?",,
56,56,What is the connection between the unclear part and the singing that follows?,,
