question_id,question_text,rating,comment
0,"What else did they do there?",6,""
1,"Do they go there often since they have a season ticket?",5,""
2,"Did they have a good time?",5,""
3,"What exactly about the description of feeding the ducks triggered the laughter?",1,""
4,"Does this laughter imply a shared memory or a specific, humorous habit known about Margaret and Snowy?",3,""
5,"Does the laughter act as a pragmatic prompt for the speaker to provide further, more amusing details about the trip?",1,""
6,"What exactly did KCEPSUNK say in response to PS0EE's partial utterance ""He 's""?",2,""
7,"Is KCEPSUNK completing PS0EE's thought or introducing a new, contrasting point about the person being discussed?",2,""
8,"Does this missing information provide a crucial detail that shifts the focus of the story from the trip to Howstead Abbey to a specific characteristic of the individual mentioned?",2,""
9,"What was the specific content of KCEPSUNK's utterance?",2,""
10,"Was KCEPSUNK suggesting that the keys were accidentally locked in the boot?",2,""
11,"Is this interjection intended to prompt the speaker to reveal the climax of the story?",2,""
12,"Did they report the theft to the police?",8,""
13,"Was it just the fifty quid that was stolen, or did they lose other things as well?",,""
14,"Did they ever manage to get any of the money back?",,""
15,"Was the handbag in the boot with the other stuff?",,""
16,"Did they take the whole handbag or just the money?",,""
17,"Did she report the theft to the police?",,""
18,"Did they notice the theft immediately upon returning to the car?",,""
19,"Did they report the incident to the police or the abbey security?",,""
20,"Was anything else stolen from the handbag besides the fifty pounds?",,""
21,"What specifically did she fear would happen if she had carried the bag with her?",,""
22,"Did they report the theft to the police or the abbey's security?",,""
23,"Does she still feel that leaving the bag in the boot was the safer choice now that the money is gone?",,""
24,"Do you really think the risk of being mugged is higher than the risk of a car break-in?",,""
25,"Does that mean you believe leaving valuables in the boot is generally the safer alternative?",,""
26,"But since she was robbed anyway, wouldn't it have been safer to keep the money hidden on her person rather than in a bag in the boot?",,""
27,"Did she manage to cancel the cards straight away?",,""
28,"Did they report the theft to the police?",,""
29,"Were they able to recover any of the money or the bag?",,""
30,"Did the police manage to find the people who took the bag?",,""
31,"Did they get any of the money or the cards back?",,""
32,"Have they heard anything more from the police since then?",,""
33,"Did the police actually end up finding out who did it?",,""
34,"Do you think they were just saying that to be polite, or do they usually catch people in these kinds of thefts?",,""
35,"If they did find the person, did she manage to get her money and cards back?",,""
36,"Why is it so difficult for them to prove it?",,""
37,"Did they eventually find any evidence or witnesses that could help?",,""
38,"Does that mean the police weren't able to make any arrests?",,""
39,"Who are the people the police are referring to?",,""
40,"How is it possible for someone to be in court twenty-seven times without a conviction?",,""
41,"Do the police think that same person is responsible for this latest theft?",,""
42,"What about CCTV or security cameras, would that count as someone seeing them?",,""
43,"If this person has been in court twenty-seven times, hasn't there been a single witness in all those cases?",,""
44,"Does that mean the police are just stuck now unless a witness comes forward for this specific theft?",,""
45,"Who is the ""he"" you are referring to?",,""
46,"Do you mean he has a handlebar mustache?",,""
47,"Does that distinguishing feature make it easier for the police to identify him?",,""
48,"Who is the ""bloke"" that PS0EB is referring to?",8,""
49,"Sitting behind whom or what is this person positioned?",6,""
50,"Is this the person PS0EH was referring to when mentioning the ""handle bar""?",8,""
51,"Who is ""Mr oh"" that is being referred to?",8,""
52,"What exactly is he riding that makes him look like he is ""having a ride in""?",6,""
53,"Is this person the same individual PS0EH mentioned as having a handlebar?",6,""
54,"Why ""though""—did he look like he was about to react to you?",3,""
55,"Was he just ignoring you, or did he seem to be eavesdropping on the conversation?",3,""
56,"Do you think he's actually a suspicious character, or is he just an odd-looking guy?",3,""
57,"What makes you think he is associated with a political party?",1,""
58,"Is he wearing anything, like a badge or a rosette, that suggests his affiliation?",5,""
59,"Which party do you suspect he belongs to?",6,""
60,"Did the man behind us overhear the question about his political party?",1,""
61,"Did he just react or turn around in a way that explains the ""Oh no""?",,""
62,"Does this mean we have put ourselves in an awkward or risky position by talking about him?",,""
63,"Why did the mention of the man's political party specifically trigger the immediate need for silence?",,""
64,"Is the insistence on shushing a reaction to the man being within earshot and the risk of him overhearing the conversation?",,""
65,"What is the nature of the perceived risk that makes discussing the man's affiliations potentially dangerous or socially unacceptable in this specific setting?",,""
66,"Who is Neil?",,""
67,"Does knowing it's Neil answer the question about which party he is for?",,""
68,"What is Neil doing here?",,""
69,"Did you just finish the sentence about where those two are walking?",,""
70,"Are you confirming that it is actually those two people?",,""
71,"Do you think they have overheard us?",,""
72,"Who are the two people you are referring to?",,""
73,"What exactly happened when he fell over on the sea front?",,""
74,"Why would it be a problem if it were those two walking there again?",,""
75,"Did you just confirm that those were the two people on the sea front?",,""
76,"What additional detail about the fall were you mentioning?",,""
77,"Are you suggesting that the incident happened differently than how it was just described?",,""
78,"Why is PS0ED shushing the group again specifically in response to PS0EB's laughter?",,""
79,"Who is the specific person or group in the immediate vicinity that we are attempting to avoid alerting?",,""
80,"Does this repeated insistence on silence suggest that the people being discussed are within earshot and might react negatively to the conversation?",,""
81,"What specific program or broadcast are they watching that is currently only showing a limited part of Britain?",,""
82,"Does the speaker's mention of ""all Britain"" refer to a lack of geographic diversity in the footage, or a lack of political representation?",,""
83,"How does this broader desire for a national view relate to the specific individuals and political party mentioned earlier in the conversation?",,""
84,"What is happening in the program right now that makes absolute silence so necessary?",,""
85,"Is PS0EH specifically targeting the person who was questioning the representation of Britain, or is this a general group command?",,""
86,"Does this repeated insistence on silence indicate that we are about to witness a pivotal moment in the broadcast?",6,""
87,"Why are you shushing me again right now?",1,""
88,"What is happening in the program that makes this need for silence so urgent?",8,""
89,"Why is there a collaborative effort between you and PS0ED to prioritize the audio over our conversation?",3,""
90,"Is PS0EH shushing PS0EB because a critical moment in the program is occurring, or is the volume of PS0EB's commentary simply too disruptive?",6,""
91,"Does the repetition of this shushing behavior suggest a fixed power dynamic or a habitual interaction pattern between PS0EH and PS0EB during shared media consumption?",3,""
92,"Since PS0EB has ignored previous warnings, does this final ""Sshh"" signal a transition from a polite request for silence to an expression of genuine irritation?",6,""
93,"Is this utterance a genuine request for a reason why the addressee is talking, or is it a directive command for silence?",4,""
94,"What is the social relationship between PS0EH and the addressee that permits this sudden escalation from soft shushing to an explicit demand to ""shut up""?",3,""
95,"Has the Question Under Discussion shifted from the content of the television program to the interpersonal conflict between the participants?",3,""
96,"Who is the ""she"" that PS0ED is referring to?",8,""
97,"What exactly is being recorded—the television program or the conversation in the room?",8,""
98,"Why does she specifically want to hear someone speaking on the recording?",8,""
