,question_id,question_text,rating,comment
0,0,"What exactly is being referred to as ""it"" in ""put it in the bucket""?",8.0,
1,0,"What is the significance or purpose of putting ""it"" in the bucket?",5.0,
2,2,Are there any specific instructions or protocols associated with placing items in the bucket?,5.0,
3,3,What is the significance of addressing Kieran at this point in the conversation?,3.0,
4,4,Is Kieran expected to respond or take action based on this utterance?,3.0,
5,5,"What prior context or shared knowledge between the speakers makes ""Kieran"" a relevant contribution here?",3.0,
6,8,"What specific aspect of the situation is PS0JD acknowledging with ""Right""?",3.0,
7,8,"What does PS0JD's ""Right"" imply about their understanding of the task at hand?",3.0,
8,8,"How does PS0JD's ""Right"" signal their engagement or agreement with PS0JA's previous statement?",3.0,
9,9,What was the content of the unclear utterance by KD1PSUNK?,2.0,
10,10,Could the unclear utterance by KD1PSUNK be related to the previous discussion about collecting items and gift vouchers?,2.0,
11,11,"Was KD1PSUNK addressing someone specific with the unclear utterance, and if so, whom?",2.0,
12,12,"What does ""have a purge"" mean in this context?",3.0,
13,13,What is the significance of going to Marks and Sparks?,5.0,
14,14,Is this a planned event or a spontaneous decision?,5.0,
15,15,"What specific items or requests was PS0JD rejecting with ""no""?",3.0,
16,16,"What was the context or topic that led to PS0JD's ""no"" response?",3.0,
17,17,"Was PS0JD's ""no"" a rejection of an offer, a suggestion, or a request?",3.0,
18,18,"What specific agreement or understanding does ""right"" acknowledge?",3.0,
19,19,"What does ""right"" signal about the next steps or actions to be taken?",3.0,
20,20,"What underlying topic or sub-discussion is ""right"" confirming or closing?",3.0,
21,21,What was the content of the unclear utterance by KD1PSUNK?,,
22,22,Could the dog barking be a response to something in the conversation?,,
23,23,Was the dog barking directed at someone or something specific in the context?,,
24,24,What was the content of the unclear utterance by KD1PSUNK?,,
25,25,Could the unclear utterance by KD1PSUNK be related to the dog barking mentioned?,,
26,26,Was the unclear utterance by KD1PSUNK a response to the previous discussion about organizing tasks or collecting items?,,
27,27,What is the significance of the cup in this context?,,
28,28,Why was the cup previously missing or hard to find?,,
29,29,"Who is the intended recipient of the cup, and why is it being returned now?",,
30,30,What specific behavior of the young man prompted PS0JB to say this?,,
31,31,"Has the young man been acting unusually all day, or is this a recent change?",,
32,32,Is there a particular event or interaction that might have caused the young man's behavior?,,
33,33,What specific behavior or action led PS0JB to think that PS0JF got up too early?,,
34,34,Is there a usual time or routine that PS0JF typically follows in the morning?,,
35,35,What might have happened earlier that day to cause PS0JF to seem unusually tired or out of sorts?,,
36,36,What prompted PS0JB to ask about the quality of your day at work?,,
37,37,How does your day at work typically influence your mood or behavior at home?,,
38,38,Are there any specific events or interactions at work that stood out to you today?,,
39,39,What specific incident or interaction at work is causing the person to be in this state since they got up?,,
40,40,Is there a particular colleague or situation at work that has been bothering them all day?,,
41,41,Have they mentioned any recent stressors or changes at work that might be contributing to their current mood?,,
42,42,"What does ""do do"" refer to in this context?",,
43,43,Who is the intended recipient of this utterance?,,
44,44,"Why is PS0JA instructing someone to ""go and get it""?",,
45,45,"Who is the ""he"" being referred to in this utterance?",,
46,46,"What does ""a right little misery"" mean in this context?",,
47,47,Why is the speaker commenting on the boy's behavior upon waking up?,,
48,48,What is the context or reason behind PS0JF's request for a biscuit?,,
49,49,Is PS0JF expecting someone specific to fulfill this request?,,
50,50,"Has PS0JF previously been denied a biscuit, or is this a routine request?",,
51,51,What specific biscuit is PS0JD referring to?,,
52,52,Why does PS0JD assume that a biscuit is available for him as well?,,
53,53,How does PS0JD's request relate to the earlier mention of a drink and a cup?,,
54,54,What could be the content of KD1PSUNK's unclear utterances?,,
55,55,Is KD1PSUNK's lack of clarity related to the earlier topic of having a good day at work?,,
56,56,Could the unclear utterances be a sign of KD1PSUNK's emotional state or fatigue?,,
57,57,What was the content of KD1PSUNK's unclear utterance?,,
58,58,Why did KD1PSUNK's utterance remain unclear in this context?,,
59,59,How might the unclear utterance have influenced the subsequent discourse flow?,,
60,60,What was the content of KD1PSUNK's unclear utterance?,,
61,61,Why did KD1PSUNK's utterance remain unclear in this context?,,
62,62,How might KD1PSUNK's unclear utterance have influenced the subsequent discourse?,,
63,63,What exactly was the child playing with when he was sitting there?,,
64,64,Why does the button seem significant enough to mention in this context?,,
65,65,"How did the button end up off the cardigan, and when did that happen?",,
66,66,What was the context that led you to notice the button on the cardigan?,,
67,67,Why did you think the button was significant enough to mention?,,
68,68,How did the button end up on the floor or in that specific location?,,
69,69,Why did he wake up so early in the morning?,,
70,70,What might have caused him to go to bed so late?,,
71,71,"Is this a regular pattern for him, or was this an unusual occurrence?",,
72,72,"What does ""sound-o"" mean in this context?",,
73,73,"What is ""this one"" referring to in the phrase ""got up about ten minutes after this one""?",,
74,74,Why is the speaker mentioning the specific times the person went up and got up?,,
75,75,"What exactly are the ""little boxes"" that PS0JF is referring to?",,
76,76,"Why does PS0JD find the ""little boxes"" smart?",,
77,77,"Are the ""little boxes"" related to the previous topics of discussion, such as the biscuits or the button?",,
78,78,What was the content of the unclear utterance?,,
79,79,Could the unclear utterance have been a response to a previous question?,,
80,80,Was the unclear utterance relevant to the ongoing discussion about the biscuits or the front room?,,
81,81,"What specific item is PS0JF referring to as ""My favourite one""?",,
82,82,Why is this item PS0JF's favorite?,,
83,83,What context or previous discussion led to this item being identified as a favorite?,,
84,84,What was the content of the unclear utterance by KD1PSUNK?,,
85,85,Why did KD1PSUNK's utterance become unclear at that specific moment?,,
86,86,How might the unclear utterance by KD1PSUNK have influenced the subsequent dialogue?,,
