question_id,question_text,rating,comment
0,"Can you tell me what kind of work you did as a turnboy on the dredger at Ipswich Docks?",8,"role-play"
1,"What were some of your responsibilities as a turnboy, and how did they differ from other jobs you had?",8,""
2,"How did working conditions as a turnboy compare to those in your previous roles, such as with the ironmonger?",8,""
3,"What prompted PS22D to change jobs for only four months?",0,""
4,"Why did PS22D leave the dyers and cleaners after working there?",6,""
5,"How much time did PS22D spend at each job before moving on?",8,""
6,"Can he clarify what he's trying to say with ""Pardon""?",0,""
7,"",,"empty"
8,"Is there something specific he wants to rephrase or ask for clarification on?",0,""
9,"",,"empty"
10,"How does his response to ""Where is that?"" affect the relevance of ""Pardon""?",0,""
11,"Can you clarify what specific location at ""down at the bottom of opposite the"" means?",2,""
12,"How did you find your way to that place before coming to Ipswich Docks for work?",,""
13,"Is there any particular reason why you might not be able to say it clearly?",,""
14,"Where was your birthplace located?",,""
15,"What was the state or province where you were born?",,""
16,"Was your birthplace in England?",,""
17,"Can you describe your earliest memories of Ipswich?",,""
18,"",,""
19,"What was it like growing up near the docks during World War II?",,""
20,"",,""
21,"How did your experiences during that time influence your perception of the docks as a place?",,""
22,"Where did you roam as a child after leaving school?",,""
23,"Were there any specific places or activities that were significant to your childhood roaming experiences?",,""
24,"Did your wandering as a child ever take you into other parts of Suffolk beyond Ipswich?",,""
25,"Where were the houses located in relation to the fields they surrounded?",,""
26,"How did the geographical features surrounding the fields impact daily life as a child?",,""
27,"Were there any specific types of housing or residential patterns present in the area?",,""
28,"1. Were there any houses that stood in place of the fields when you were younger?",,""
29,"2. Was the area where you grew up rural or agricultural in nature, without permanent dwellings?",,""
30,"3. Did the landscape around your childhood home change significantly over time due to urbanization or other factors?",,""
31,"What were the characteristics of the estate mentioned?",,""
32,"Was this a new development or part of an existing area?",,""
33,"Did the speaker know anything about its future plans?",,""
34,"Where does the coughing fit into the overall conversation flow?",,""
35,"Is there any further elaboration on what's causing the cough?",,""
36,"Are they considering asking PS22D to describe the cough more explicitly?",,""
37,"PS22C: What was it about this estate that you couldn't quite remember?",,""
38,"PS22C: Do you think there might be something specific about the architecture or design that's causing the memory blockage?",,""
39,"PS22C: Are you implying that the estate's development had some kind of impact on your past experiences?",,""
40,"What were they called?",,""
41,"Was it a specific development or infrastructure project that led to this area being designated as part of the estate?",,""
42,"How did the company's presence and operations shape the physical layout and identity of the Old Plantation area?",,""
43,"What was the landscape or terrain like during that period?",,""
44,"Was it flat or did it have any distinctive features such as hills or streams?",,""
45,"Were there any notable landmarks, such as a particular tree or landmark, that stood out in the area?",,""
46,"Did the river mark the boundary of the common ground?",,""
47,"Was the river's presence a significant feature of the landscape?",,""
48,"Were the boundaries between public and private spaces clearly demarcated along the river?",,""
49,"How long did you stay camping up there for each visit?",,""
50,"What was the typical duration of your camping trips to that location?",,""
51,"Were you allowed to return and camp at that spot multiple times?",,""
52,"- When did you first become aware that this was dur?",,""
53,"- How does ""dur"" relate to your experiences or memories of camping there?",,""
54,"- What specific aspect of ""dur"" are you trying to convey or highlight in our conversation?",,""
55,"What was the purpose or reason for having these school holidays?",,""
56,"Did the speaker have personal experiences during those school holidays that are worth sharing?",,""
57,"Were there any notable events, incidents, or traditions associated with the school holidays in this particular location?",,""
58,"Was it during the summer holiday period?",,""
59,"Was that a specific year or decade when they used to camp there?",,""
60,"Were there any notable events or incidents associated with the camping at Old Plantation?",,""
61,"What other holidays did you take outside of school?",,""
62,"",,""
63,"Were there any winter holidays or breaks that were similar to the summer one?",,""
64,"",,""
65,"Did you have any other types of vacations, such as family visits or trips with friends?",,""
66,"How long did you camp there as a child?",,""
67,"What specific aspects of your camping experiences were most enjoyable?",,""
68,"Were there any notable incidents or challenges during those summer camps?",,""
69,"What else did we do for entertainment or leisure activities during our holidays?",,""
70,"How long did we stay at the campsite, and were there any specific events or traditions associated with it?",,""
71,"Were there any notable changes or developments in the campsite or its surroundings that we experienced or heard about during our time there?",,""
72,"- Do you ever go harvesting on your own or with others?",,""
73,"- What kind of harvests did you typically participate in, e.g. grains, fruits, etc.?",,""
74,"- Did going harvesting become an integral part of your holiday routine after a certain point?",,""
75,"Did you ride with the horse's reins?",,""
76,"Was it an informal arrangement where anyone could ride on the horse?",,""
77,"Were there any specific rules or protocols governing horse riding among your group?",,""
78,"What was the specific reason behind the farmer's leniency towards allowing bareback riding on his horse?",,""
