question_id;question_text;rating;comment
0;"What specific topic is the interviewer (PS22C) referring back to with ""Can I just go back to"", and how does the ""Yes"" commit the interviewee (PS22D) to addressing that topic directly or indirectly?";0.0;
1;;0.0;
2;"What is the pragmatic function of the minimal response ""Yes"" in this context, particularly given the preceding question about returning to a specific part of the interview?";0.0;
3;;0.0;
4;"What specific unresolved QUD remains active or newly introduced by the interviewer's question (""Can I just go back to..."") that the interviewee's ""Yes"" does not fully resolve?";0.0;
5;Why did PS22C feel the need to re-ask after PS22D's previous, brief answer?;1.0;
6;"What prompted PS22D to give such a minimal response (""yes"") this time, compared to their previous answer (""yes ."")?";0.0;
7;What specific aspect of the prior question was PS22C seeking confirmation or clarification for, by asking again?;3.0;
8;"Why did PS22D choose to respond with ""Pardon?"" specifically to PS22C's question instead of another possible non-response strategy?";0.0;
9;"How is the specific question ""Where is that?"" related to the previous question and the context established before PS22D's last statement?";0.0;
10;"What are the implications of PS22D's non-answering strategy (""Pardon?"") for the collaborative goal of sharing information in this interview?";0.0;
11;What place is that ?;0.0;
12;How does that place connect to Hemel Hempstead or Ipswich ?;;
13;What is the significance of this location to the speaker's early life ?;;
14;Why does the repetition of the question occur immediately after the previous question about birthplace?;;
15;What specific linguistic features in the interviewer’s reformulation ('Wh when') are notable or unusual?;;
16;How does the question about the birth date relate to the broader topic of the interview (Ipswich Docks)?;;
17;Can you describe the physical appearance of the area, like buildings or landmarks?;;
18;Were there any particular sounds, smells, or tastes associated with that area?;;
19;How did that early environment influence your later choices or perspectives?;;
20;What specific area or landmark are you referring to when you mention 'down at the bottom of' regarding the place where I was called a roamer?;;
21;During what period in my early childhood did I roam this area?;;
22;What specific activities or experiences did 'roaming' entail?;;
23;What specific location are you referring to when you ask about houses?;;
24;What kind of houses were present?;;
25;How did the presence of houses contrast with the surrounding fields?;;
26;"What was the specific nature of the ""houses"" the interviewee refers to? (Were they isolated farmhouses, small cottages, or part of a larger settlement?)";0.0;
27;"How did the presence or absence of houses impact the interviewee's description of the area as ""all fields""?";;
28;What was the perceived relationship between the houses and the surrounding fields? (Were they clustered together or interspersed?);0.0;
29;What is the name of the estate mentioned?;;
30;When was this estate built?;;
31;How did the development of this estate affect your childhood roaming?;;
32;What specific part of the preceding utterance by PS22D triggered the cough?;;
33;How does the cough interrupt or potentially alter the Question Under Discussion (QUD) at that moment?;;
34;What was the primary function of the cough in the conversational context—regaining attention, signaling discomfort, or another purpose?;;
35;What was the physical or emotional nature of the cough?;;
36;What was PS22C's immediate intention or cognitive state during the cough?;;
37;How did the cough impact the continuation or trajectory of the conversation?;;
38;What were the other two areas mentioned (besides the Old Plantation)?;;
39;What was the specific name used for the second area (the one that PS22D describes as having no proper name)?;;
40;How did the development of these areas change their perception or documentation over time?;;
41;What exactly was the physical nature of the common ground (size, terrain, vegetation)?;;
42;What specific activities did people typically engage in on that common ground?;;
43;How did this common ground relate to the surrounding newly built houses and the Old Plantation?;;
44;What was the river like in terms of its size or flow ?;;
45;How close was the area to the river ?;;
46;What was along the riverbank itself ?;;
47;How long would you camp up there ?;;
48;What did you do up there when you camped ?;;
49;Who went camping with you ?;;
50;Was camping up there enjoyable ?;;
51;"What duration of time period were you referring to when you said ""This was dur""?";;
52;What specific activities or events characterized that period you mentioned?;;
53;Where exactly in the development or history were you continuing to describe regarding that time?;;
54;What specific activities or events were being referred to that might have been seasonal and prompted the question?;;
55;How did the experience or rules differ during school holidays compared to other times?;;
56;What was the speaker's motivation for asking specifically about the timing relative to school holidays?;;
57;Was the weather particularly nice or challenging during those summer camps?;;
58;How did the experience differ if you camped in the summer compared to other times?;;
59;What specific activities were you able to do that were seasonal, like swimming or fishing?;;
60;Did you have any other school holidays besides the summer one?;;
61;If you had other holidays, when were they?;;
62;What did you typically do during those other holidays?;;
63;How long did you camp each time?;;
64;How long did you camp during the holidays?;;
65;How long did you camp before needing a permit?;;
66;What other activities did you engage in during your holidays besides camping?;;
67;How often did you go camping during the holidays?;;
68;How long were the camping trips each time?;;
69;What kind of crops were harvested ?;;
70;Who did you harvest with ?;6.0;
71;Were you old enough to harvest alone or did you go with adults ?;6.0;
72;What was the experience of riding the horse like?;8.0;
73;Did the horse need to be trained for pulling the boiler, or was it just a child's ride?;8.0;
74;How did the horse relate to other farm activities, like the rabbit catching or harvest work?;5.0;
75;What was the nature of the relationship between you and the farmer?;3.0;
76;How did the horse riding actually occur – on the farmer's property or elsewhere, and was it supervised or unsupervised?;8.0;
77;Was the farmer's permission related to safety concerns or was it simply permissive?;6.0;
78;Did you catch a lot of rabbits ?;7.0;
79;What did you do with the rabbits you caught ?;8.0;
80;Did you share the rabbits with other people ?;8.0;
81;Why were the children not allowed to keep the rabbits they caught, and what were the practical consequences of this rule?;7.0;
82;What cultural or historical beliefs or practices governed the prohibition on keeping rabbits, and were these shared by the wider community?;;
83;Were there specific safety concerns or animal welfare considerations regarding keeping wild rabbits that led to the prohibition?;;
84;Why were the rabbits caught by the children laid out?;;
85;What specific activities involving the rabbits did the children participate in?;;
86;What was the farmer's direct reaction to the children's actions regarding the rabbits?;;
87;PS22C: You went to school in Ipswich ?;;
88;Why would Ipswich be relevant here?;;
89;Did you attend a local school or Ipswich school?;;
90;How did your experience in Ipswich compare to your rural life?;;
91;PS22C: Did you say school ?;;
92;PS22C: What specific type of school did you attend ?;;
93;PS22C: What was your age when you started the 'last four years' of schooling ?;;
94;PS22C: Was the school in Ipswich or elsewhere ?;;
95;What area is Ipswich located in?;;
96;What was the name of the specific school in Ipswich?;;
97;How did the experience of attending that school differ from their earlier education?;;
98;What was the exact location of the school relative to the gasworks?;;
99;When exactly did the school close?;;
100;What, if anything, is currently on the site where the school used to be?;;
101;What was the school building like in appearance or structure ?;;
102;What was the atmosphere or culture of the school like ?;;
103;What subjects were taught or what activities were common at the school ?;;
104;Why was the school considered hard?;;
105;What specific aspects made the school difficult?;;
106;How did the difficulty of the school impact the speaker's experience or education?;;
107;What specific subjects or types of lessons were difficult?;;
108;What aspects made the lessons challenging or hard?;;
109;How did the difficulty of the lessons impact the overall school experience?;;
110;What exactly was the 'cane' used for punishment?;;
111;What other forms of punishment besides the cane were used?;;
112;What specific types of wrongdoings triggered the cane?;;
113;Who else would have gotten the cane besides talking?;;
114;What were the consequences of getting the cane?;;
115;How often did this kind of punishment happen?;;
116;PS22C: Did you get the cane often ?;;
117;PS22C: What other punishments besides the cane were there ?;;
118;PS22C: Was the severity of the punishment different depending on what you did wrong ?;;
119;What specific subjects or types of lessons were you referring to ?;;
120;Did the type of lessons change over time ?;;
121;Were certain subjects particularly difficult due to the school's strict environment ?;;
122;What specific types of practical lessons were taught ?;;
123;How were practical lessons integrated into the overall school day ?;;
124;What were the consequences of performing poorly in practical lessons ?;;
125;What specific subjects or activities would you classify as practical lessons?;;
126;How did practical lessons differ from the more academic subjects like arithmetic and dictation?;;
127;Were any practical skills taught, or were these practical lessons simply different from theoretical ones?;;
128;What specific practical skills were taught in the woodwork lessons?;;
129;Were there other practical subjects besides woodwork?;;
130;What was the overall structure of the practical lessons, like how often they occurred or how long they lasted?;;
131;What did the manual contain?;;
132;What was the manual used for?;;
133;How was the manual used in class?;;
134;"What format did the ""manual"" take (e.g., book, booklet, set of instructions)?";;
135;"What specific topics or instructions were covered within the ""manual""?";;
136;What was the practical purpose or application of the iron parts mentioned in the manual?;;
137;Why was the school located specifically in the middle of the town?;;
138;How did the location in the middle of the town affect the school or its students?;;
139;Was the school's location in the town center unusual compared to other schools?;;
140;What exactly did 'manual school' mean in your context ?;;
141;Why did you choose to refer to it as 'manual school' ?;;
142;How does 'manual school' fit into the overall structure of your educational experience ?;;
143;"What was the exact name or location of the place called ""the manual school"" ?";6.0;
144;How long did PS22D attend the manual school ?;6.0;
145;Besides woodwork, what other subjects were taught at the manual school ?;6.0;
146;"What specific time period constitutes a ""half day"" for these lessons?";4.0;
147;What was the total cumulative time spent on these lessons over the three years?;5.0;
148;Where exactly did these lessons take place?;6.0;
149;What does 'filled in the rest part of the week' mean in this context?;3.0;
150;How was the week structured in terms of days or periods?;5.0;
151;How did the educational system differ between this school (the one with manual school) and 'all the other schools'?;8.0;
152;What were the specific opponents or schools they competed against in the sports?;8.0;
153;What was the exact location they marched to in order to play football?;6.0;
154;Who exactly went to school at two o'clock, referring to the other schools or the speaker's own school?;3.0;
