,question_id,question_text,rating,comment
0,0,Why do you always use onions in the dish?,5.0,
1,0,What makes onions a preferred ingredient for you?,5.0,
2,2,How do onions compare to leeks in your cooking experience?,8.0,
3,3,What did you change in your cooking six months ago?,8.0,
4,4,Why did you stop using onions in your cooking after six months?,8.0,
5,5,What prompted you to make that specific change in your recipe?,8.0,
6,8,"What exactly did you mean by ""it gave you indigestion""?",4.0,
7,8,When did you first notice that the onions were causing you indigestion?,8.0,
8,8,Did you ever try any alternatives to onions that might have worked better for you?,8.0,
9,9,What specific ingredients or preferences do you want to communicate to me in the future?,8.0,
10,10,How will we handle situations where our preferences for the same dish differ?,8.0,
11,11,What criteria will you use to decide exactly what you want to eat and what you want in it?,5.0,
12,12,What specific behaviors or utterances led you to conclude that I was moaning?,5.0,
13,13,How do you distinguish between constructive feedback and moaning in this context?,3.0,
14,14,Are there particular patterns in our communication that make you perceive my remarks as complaints rather than expressions of preference?,8.0,
15,15,"What specific behaviors or comments are you referring to when you say ""it's getting on my nerves""?",4.0,
16,16,How long has this been an issue for you?,8.0,
17,17,Are there particular times or situations where this bothers you more than others?,8.0,
18,18,What was the content of the unclear utterance?,2.0,
19,19,Why did PS0M4 feel the need to leave that part unclear?,2.0,
20,20,How might the unclear utterance have influenced the trajectory of the conversation?,2.0,
21,21,"What exactly do you mean by ""toss it in""?",,
22,22,Did you always use onions when you tossed it in?,,
23,23,Why did you stop tossing it in with onions?,,
24,24,What specific aspect of the dish did you find problematic this time?,,
25,25,Why did you decide to include onions again after previously omitting them?,,
26,26,"What exactly are you ""sick to death of"" in this situation?",,
27,27,What specific ingredient did PS13T mention they didn't like the other day?,,
28,28,Why did PS0M4 decide to include onions again despite knowing they caused indigestion?,,
29,29,How does PS0M4 interpret PS13T's request for changes in the recipe as moaning?,,
30,30,"What specific ingredient is PS0M4 referring to when saying ""I'd rather not have that in it""?",,
31,31,Why does PS0M4 feel the need to question the purpose of cooking in this context?,,
32,32,What prompted PS0M4 to bring up the topic of ingredients and cooking preferences at this moment in the conversation?,,
33,33,"What specific incidents or comments have been made ""every week"" that are causing frustration?",,
34,34,"How does the speaker (PS0M4) determine whether they ""feel like doing it"" or not when deciding to cook?",,
35,35,"What exactly prompted the shift in responsibility where the other person (PS13T) is now expected to ""do something yourself""?",,
