question_id,question_text,rating,comment
0,"What kind of season ticket do they have for Howstead Abbey?",6,""
1,"How often do they go to feed the ducks with this season ticket?",6,""
2,"Are there any specific rules or times for feeding the ducks at Howstead Abbey?",5,""
3,"What specifically prompted the laughter in this context?",2,""
4,"Was the laughter a reaction to something humorous in the previous utterance, or was it a nervous or awkward response?",2,""
5,"Could the laughter indicate a shared inside joke or understanding between the speakers that isn't explicitly stated?",2,""
6,"What was the unclear part that KCEPSUNK was trying to say?",2,""
7,"Could the unclear utterance be related to the previous topic about Margaret and Snowy?",2,""
8,"Was KCEPSUNK attempting to ask a question or provide additional information?",2,""
9,"What was the content of the unclear utterance?",2,""
10,"Could the unclear utterance have been a response to the previous topic about Margaret and Snowy?",2,""
11,"Was the unclear utterance a reaction to the laughter or the mention of feeding the ducks?",2,""
12,"What exactly was stolen from them?",4,""
13,"How did the robbers manage to see them putting the items in the boot?",5,""
14,"Were there any security measures in place at Howstead Abbey that failed to prevent the theft?",5,""
15,"What exactly was stolen from the handbag?",4,""
16,"Was the handbag left unattended at any point?",5,""
17,"Did Margaret notice the theft immediately or later?",6,""
18,"What exactly was stolen from the boot?",4,""
19,"How did the robbers manage to take the money without being noticed?",6,""
20,"Were there any security measures in place at Howstead Abbey that failed?",5,""
21,"What exactly was stolen from the boot?",,""
22,"How did the thief manage to access the boot without being noticed?",,""
23,"Were there any security measures in place at Howstead Abbey that could have prevented this theft?",,""
24,"What specific circumstances or locations make carrying a bag particularly risky for mugging?",,""
25,"Are there any preventive measures or strategies that can be taken to reduce the risk of being mugged while carrying a bag?",,""
26,"How common is it for muggings to occur in the context of feeding ducks or visiting places like Howstead Abbey?",,""
27,"What exactly were the ""trust cards"" that were stolen?",,""
28,"How did the thieves manage to get the handbag from the boot of the car?",,""
29,"What kind of ""business"" is being referred to in this context?",,""
30,"What specific details about the police involvement were discussed?",,""
31,"How did the police respond to the theft report?",,""
32,"Were there any updates or follow-ups from the police mentioned?",,""
33,"How did the police know who likely committed the robbery?",,""
34,"Did the police provide any specific evidence or leads to support their assumption?",,""
35,"What actions, if any, are the police planning to take based on their knowledge of the suspect?",,""
36,"What specific evidence do the police have that might help identify the suspect?",,""
37,"How likely is it that the police will be able to prove the case?",,""
38,"Are there any known patterns or methods that the police can use to link this incident to previous cases?",,""
39,"Who is the person they've had up in court twenty-seven times?",,""
40,"What kind of crimes has this person been accused of?",,""
41,"Why haven't they been able to prove the person's guilt in any of the previous trials?",,""
42,"What specific legal challenges make it difficult to prove the identity of the thief in this case?",,""
43,"How often do cases like this one go unsolved due to lack of eyewitness testimony?",,""
44,"Are there any alternative methods the police could use to gather evidence besides relying on eyewitnesses?",,""
45,"What does ""a handle bar"" refer to in this context?",,""
46,"Is the handle bar relevant to the theft or the person involved?",,""
47,"Why is the mention of the handle bar significant at this point in the conversation?",,""
48,"Who is the ""bloke sitting behind"" that PS0EB is referring to?",,""
49,"What is the significance of the ""bloke sitting behind"" in the context of the conversation?",,""
50,"Why did PS0EB suddenly shift the topic to the ""bloke sitting behind"" at this point in the dialogue?",,""
51,"Who is ""Mr oh""?",,""
52,"What does ""having a ride in"" refer to?",,""
53,"Why does the person behind look like ""Mr oh""?",,""
54,"What exactly was the context in which this person was sitting there?",,""
55,"Why did the person choose to just sit there instead of taking any action?",,""
56,"What was the significance of the person's decision to remain seated during the event?",,""
57,"What makes you think he might be associated with a political party?",,""
58,"How do you know he's not just a regular attendee?",,""
59,"What specific visual cues or behaviors led you to that assumption?",,""
60,"What prompted PS0EB to say ""Oh no""?",,""
61,"Was PS0EB reacting to something specific that wasn't mentioned in the dialogue?",,""
62,"Could ""Oh no"" indicate concern or disapproval about something related to the previous topic?",,""
63,"Why did PS0ED suddenly say ""sshh""?",,""
64,"Was there something or someone that required silence at that moment?",,""
65,"Did PS0ED notice something that the others didn't, prompting the need for silence?",,""
66,"Who is Neil?",,""
67,"What is the significance of Neil in this context?",,""
68,"Why did PS0EB mention Neil at this point in the conversation?",,""
69,"What was the unclear utterance that KCEPSUNK made?",,""
70,"Could the unclear utterance be related to the previous topic of discussion about the person in court?",,""
71,"Is there a possibility that the unclear utterance was a response to the mention of Neil or the two people walking?",,""
72,"Who are ""them two"" being referred to?",,""
73,"What is the significance of the sea front in this context?",,""
74,"Why is the possibility of someone falling over a concern?",,""
75,"What was the unclear utterance that KCEPSUNK made?",,""
76,"Could the unclear utterance have been relevant to the ongoing discussion about the person with the handlebar?",,""
77,"Was the unclear utterance an attempt to clarify or contribute to the speculation about the person's political affiliation?",,""
78,"Why is PS0ED insisting on silence with multiple ""sshh"" utterances?",,""
79,"What specific event or person is PS0ED trying to avoid drawing attention to?",,""
80,"Is there a shared understanding or inside joke among the speakers about the need for silence?",,""
81,"What specific parts of Britain are they not showing?",,""
82,"Who is responsible for deciding what parts of Britain are shown?",,""
83,"What is the context or medium in which they are expecting to see all of Britain?",,""
84,"Why is PS0EH telling everyone to be quiet?",,""
85,"Is there something specific happening that requires silence?",,""
86,"What might be the consequence if someone doesn't follow the ""sshh"" instruction?",,""
87,"What is the specific reason for PS0EH's ""Sshh"" at this point in the dialogue?",,""
88,"Is PS0EH responding to an external noise or an internal group dynamic?",,""
89,"How does PS0EH's ""Sshh"" contribute to the overall discourse flow or QUD at this moment?",,""
90,"What specific context or event is prompting the repeated ""Sshh"" responses?",,""
91,"Is the ""Sshh"" directed at a particular person or general audience in the conversation?",,""
92,"What might be the underlying reason or motivation for the speaker to repeatedly say ""Sshh""?",,""
93,"What prompted PS0EH to ask for silence at that specific moment?",,""
94,"Is PS0EH addressing a particular person or the group as a whole with this request?",,""
