question_id,question_text,rating,comment
0,"What specific point in your previous narrative do you need me to go back to?",4,""
1,"Which detail about your early work history would you like to elaborate on first?",8,""
2,"Was there something unclear in my account of the turnboy schedule that needs clarification?",2,""
3,"What specific detail did you confirm with ""yes""?",0,""
4,"Is the location you mentioned earlier actually correct?",4,""
5,"Could you elaborate on the confirmation regarding your work history?",8,""
6,"Was the interruption of the interviewee's narrative due to an unclear acoustic signal or a momentary loss of the interviewer's verbal train of thought?",0,""
7,"How does the interviewer's immediate clarification following the ""Pardon"" repair mechanism influence the trajectory of the specific biographical detail regarding the location?",0,""
8,"Does the ambiguity in the interviewer's fragmented question (""is that ?"") suggest a breakdown in the common ground regarding the previously mentioned towns or institutions?",0,""
9,"What specific location is at the bottom of that street?",4,""
10,"What building or landmark stands opposite the location you are describing?",6,""
11,"Can you clarify the name of the place that was cut off in your previous sentence?",0,""
12,"Do you recall the specific time of day you were born?",,""
13,"What year does your birth certificate actually record?",,""
14,"Was your birthplace the same as the one you just mentioned?",,""
15,"What specific sensory details, such as sounds or smells, stand out in your memory of that area from early childhood?",,""
16,"How did the physical layout or geography of the neighborhood influence your daily movements and play as a child?",,""
17,"Were there particular people or community gatherings in that area that left a lasting impression on you during those early years?",,""
18,"What specific areas or locations within Ipswich did you roam?",,""
19,"Who did you typically roam with during those early childhood years?",,""
20,"What activities or games were you engaging in while you roamed?",,""
21,"How far away were the nearest houses from your roaming grounds?",,""
22,"Were the houses you mentioned mostly occupied by other children or families?",,""
23,"Did the layout of those houses change over time as the area developed?",,""
24,"How many houses were in that area at the time?",,""
25,"Did you live in one of those houses or did you stay elsewhere?",,""
26,"What was the condition or style of those early houses?",,""
27,"What was the specific name or location of that estate?",,""
28,"When did the construction of this estate actually begin?",,""
29,"How did the development of this estate change the surrounding countryside you described?",,""
30,"Was the cough a signal for PS22D to pause or repeat their answer?",,""
31,"Did the cough interrupt the naming of the estate before PS22C could hear it?",,""
32,"Should PS22C wait for PS22D to recover before asking for clarification on the estate's name?",,""
33,"Does the cough indicate a physical interruption that prevents the speaker from completing their intended clarification?",,""
34,"Is the cough a signal for the speaker to pause and allow the current QUD regarding the estate's name to remain unresolved?",,""
35,"Could the cough be interpreted as a non-verbal cue suggesting the speaker is struggling to recall the specific name of the estate?",,""
36,"What were the names of the places you mentioned branching off to?",,""
37,"What were the specific characteristics of those fields before they were developed?",,""
38,"What were the reasons the area lacked proper names like the estate did?",,""
39,"What were the fields and common grounds specifically used for in your daily life as a child?",,""
40,"How did the landscape of these ""common grounds"" compare to the area before the houses were built?",,""
41,"What kind of activities or games did children typically engage in on that land?",,""
42,"Was the river visible from the common ground?",,""
43,"How did the terrain change as it approached the water?",,""
44,"Did you and other children frequently visit the river's edge?",,""
45,"Did the length of the stay depend on whether you secured a permit?",,""
46,"Were there any specific rules limiting how many nights you could camp on the common ground?",,""
